mess_datum;stations_id;rs;cp;altitude;latitude;longitude;station_name;state
2016-06-16;554;5.1;150.30;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-17;554;9.5;159.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-18;554;3.5;163.30;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-19;554;0;163.30;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-20;554;10;173.30;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-21;554;0.2;173.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-22;554;0;173.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-23;554;70.4;243.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-24;554;0;243.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-25;554;5.5;249.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-26;554;1.2;250.60;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-27;554;6.4;257.00;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-28;554;7.9;264.90;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-29;554;0.3;265.20;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2016-06-30;554;0.3;265.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-01;554;3.8;3.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-02;554;4;7.80;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-03;554;0.6;8.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-04;554;0.1;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-05;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-06;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-07;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-08;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-09;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-10;554;0;8.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-11;554;1.9;10.40;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
2017-05-12;554;16.1;26.50;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk);Nordrhein-Westfalen
